"interaction","cell1","cell2","p-value"
"WNT10B_FZD8_LRP5","Macrophage","Macrophage","0"
"WNT10B_FZD8_LRP5","NK Cell","Macrophage","0"
"WNT10B_FZD8_LRP5","T Cell","Macrophage","0"
"WNT10B_FZD9_LRP5","B Cell","Macrophage","0"
"WNT10B_FZD9_LRP5","Macrophage","Macrophage","0"
"WNT10B_FZD9_LRP5","NK Cell","Macrophage","0"
"WNT10B_FZD9_LRP5","T Cell","Macrophage","0"
"WNT2_FZD1_LRP5","Macrophage","Macrophage","0"
"WNT2_FZD10_LRP5","Macrophage","B Cell","0"
"WNT2_FZD10_LRP5","Macrophage","Macrophage","0"
"WNT2_FZD10_LRP5","Macrophage","NK Cell","0"
"WNT2_FZD10_LRP5","Macrophage","T Cell","0"
"WNT2_FZD2_LRP5","Macrophage","B Cell","0"
"WNT2_FZD2_LRP5","Macrophage","Macrophage","0"
"WNT2_FZD2_LRP5","Macrophage","NK Cell","0"
"WNT2_FZD2_LRP5","Macrophage","T Cell","0"
"WNT2_FZD3_LRP5","Macrophage","B Cell","0"
"WNT2_FZD3_LRP5","Macrophage","Macrophage","0"
"WNT2_FZD3_LRP5","Macrophage","NK Cell","0"
"WNT2_FZD3_LRP5","Macrophage","T Cell","0"
"WNT2_FZD4_LRP5","Macrophage","Macrophage","0"
"WNT2_FZD5_LRP5","Macrophage","B Cell","0.01"
"WNT2_FZD5_LRP5","Macrophage","Macrophage","0"
"WNT2_FZD5_LRP5","Macrophage","NK Cell","0"
"WNT2_FZD5_LRP5","Macrophage","T Cell","0"
"WNT2_FZD6_LRP5","Macrophage","B Cell","0"
"WNT2_FZD6_LRP5","Macrophage","Macrophage","0"
"WNT2_FZD6_LRP5","Macrophage","NK Cell","0"
"WNT2_FZD6_LRP5","Macrophage","T Cell","0"
"WNT2_FZD7_LRP5","Macrophage","Macrophage","0"
"WNT2_FZD7_LRP5","Macrophage","T Cell","0"
"WNT2_FZD8_LRP5","Macrophage","B Cell","0"
"WNT2_FZD8_LRP5","Macrophage","Macrophage","0"
"WNT2_FZD8_LRP5","Macrophage","NK Cell","0"
"WNT2_FZD8_LRP5","Macrophage","T Cell","0"
"WNT2_FZD9_LRP5","Macrophage","B Cell","0"
"WNT2_FZD9_LRP5","Macrophage","Macrophage","0"
"WNT2_FZD9_LRP5","Macrophage","NK Cell","0"
"WNT2_FZD9_LRP5","Macrophage","T Cell","0"
"WNT2B_FZD1_LRP5","B Cell","Macrophage","0"
"WNT2B_FZD1_LRP5","Macrophage","Macrophage","0"
"WNT2B_FZD1_LRP5","NK Cell","Macrophage","0"
"WNT2B_FZD1_LRP5","T Cell","Macrophage","0"
"WNT2B_FZD10_LRP5","Macrophage","Macrophage","0"
"WNT2B_FZD10_LRP5","NK Cell","Macrophage","0"
"WNT2B_FZD10_LRP5","T Cell","Macrophage","0"
"WNT2B_FZD2_LRP5","Macrophage","Macrophage","0"
"WNT2B_FZD2_LRP5","NK Cell","Macrophage","0"
"WNT2B_FZD2_LRP5","T Cell","Macrophage","0"
"WNT2B_FZD3_LRP5","Macrophage","Macrophage","0"
"WNT2B_FZD3_LRP5","NK Cell","Macrophage","0"
"WNT2B_FZD3_LRP5","T Cell","Macrophage","0"
"WNT2B_FZD4_LRP5","B Cell","Macrophage","0.01"
"WNT2B_FZD4_LRP5","Macrophage","Macrophage","0"
"WNT2B_FZD4_LRP5","NK Cell","Macrophage","0"
"WNT2B_FZD4_LRP5","T Cell","Macrophage","0"
"WNT2B_FZD5_LRP5","Macrophage","Macrophage","0.02"
"WNT2B_FZD5_LRP5","NK Cell","Macrophage","0.03"
"WNT2B_FZD5_LRP5","T Cell","Macrophage","0"
"WNT2B_FZD5_LRP5","Macrophage","NK Cell","0.02"
"WNT2B_FZD5_LRP5","T Cell","NK Cell","0.01"
"WNT2B_FZD6_LRP5","Macrophage","Macrophage","0"
"WNT2B_FZD6_LRP5","NK Cell","Macrophage","0"
"WNT2B_FZD6_LRP5","T Cell","Macrophage","0"
"WNT2B_FZD7_LRP5","B Cell","Macrophage","0.01"
"WNT2B_FZD7_LRP5","Macrophage","Macrophage","0"
"WNT2B_FZD7_LRP5","NK Cell","Macrophage","0"
"WNT2B_FZD7_LRP5","T Cell","Macrophage","0"
"WNT2B_FZD8_LRP5","Macrophage","Macrophage","0"
"WNT2B_FZD8_LRP5","NK Cell","Macrophage","0"
"WNT2B_FZD8_LRP5","T Cell","Macrophage","0"
"WNT2B_FZD9_LRP5","Macrophage","Macrophage","0"
"WNT2B_FZD9_LRP5","NK Cell","Macrophage","0"
"WNT2B_FZD9_LRP5","T Cell","Macrophage","0"
"WNT3_FZD1_LRP5","B Cell","Macrophage","0"
"WNT3_FZD1_LRP5","Macrophage","Macrophage","0"
"WNT3_FZD1_LRP5","NK Cell","Macrophage","0"
"WNT3_FZD1_LRP5","T Cell","Macrophage","0"
"WNT3_FZD10_LRP5","B Cell","Macrophage","0"
"WNT3_FZD10_LRP5","Macrophage","Macrophage","0.01"
"WNT3_FZD10_LRP5","NK Cell","Macrophage","0.02"
"WNT3_FZD10_LRP5","T Cell","Macrophage","0"
"WNT3_FZD2_LRP5","B Cell","Macrophage","0"
"WNT3_FZD2_LRP5","Macrophage","Macrophage","0.01"
"WNT3_FZD2_LRP5","NK Cell","Macrophage","0.02"
"WNT3_FZD2_LRP5","T Cell","Macrophage","0"
"WNT3_FZD3_LRP5","B Cell","Macrophage","0"
