"","interaction","cell1","cell2","p-value"
"46254","CNTN1_NRCAM","Basophils","Stromal Cells","0.03"
"46255","CNTN1_NRCAM","Dendritic Cell","Stromal Cells","0"
"46256","CNTN1_NRCAM","Eosinophil","Stromal Cells","0"
"46257","CNTN1_NRCAM","gd T cells","Stromal Cells","0.01"
"46258","CNTN1_NRCAM","Granulocytes","Stromal Cells","0"
"46259","CNTN1_NRCAM","Innate Lymphocytes","Stromal Cells","0"
"46260","CNTN1_NRCAM","Macrophage","Stromal Cells","0"
"46261","CNTN1_NRCAM","Mast Cells","Stromal Cells","0"
"46262","CNTN1_NRCAM","Microglia","Stromal Cells","0"
"46263","CNTN1_NRCAM","Monocyte","Stromal Cells","0"
"46264","CNTN1_NRCAM","NK Cell","Stromal Cells","0"
"46265","CNTN1_NRCAM","Stem Cells","Stromal Cells","0"
"46266","CNTN1_NRCAM","Stromal Cells","Stromal Cells","0"
"46267","CNTN1_NRCAM","T Cell","Stromal Cells","0"
"46268","CNTN1_NRCAM","Dendritic Cell","T Cell","0.04"
"46269","CNTN1_NRCAM","Innate Lymphocytes","T Cell","0"
"46270","CNTN1_NRCAM","Microglia","T Cell","0.04"
"46271","CNTN1_NRCAM","Stromal Cells","T Cell","0"
"46272","DSC1_DSG2","Basophils","ab T Cell","0.03"
"46273","DSC1_DSG2","Eosinophil","ab T Cell","0"
"46274","DSC1_DSG2","Eosinophil","B Cell","0"
"46275","DSC1_DSG2","Eosinophil","Basophils","0.02"
"46276","DSC1_DSG2","ab T Cell","Dendritic Cell","0.01"
"46277","DSC1_DSG2","Basophils","Dendritic Cell","0.02"
"46278","DSC1_DSG2","Dendritic Cell","Dendritic Cell","0"
"46279","DSC1_DSG2","Eosinophil","Dendritic Cell","0"
"46280","DSC1_DSG2","Innate Lymphocytes","Dendritic Cell","0.03"
"46281","DSC1_DSG2","Microglia","Dendritic Cell","0"
"46282","DSC1_DSG2","Monocyte","Dendritic Cell","0"
"46283","DSC1_DSG2","T Cell","Dendritic Cell","0.01"
"46284","DSC1_DSG2","Eosinophil","Eosinophil","0"
"46285","DSC1_DSG2","Eosinophil","gd T cells","0"
"46286","DSC1_DSG2","ab T Cell","Granulocytes","0.03"
"46287","DSC1_DSG2","B Cell","Granulocytes","0.03"
"46288","DSC1_DSG2","Basophils","Granulocytes","0.01"
"46289","DSC1_DSG2","Dendritic Cell","Granulocytes","0.03"
"46290","DSC1_DSG2","Eosinophil","Granulocytes","0"
"46291","DSC1_DSG2","gd T cells","Granulocytes","0.03"
"46292","DSC1_DSG2","Innate Lymphocytes","Granulocytes","0.04"
"46293","DSC1_DSG2","Macrophage","Granulocytes","0.04"
"46294","DSC1_DSG2","Microglia","Granulocytes","0.01"
"46295","DSC1_DSG2","Monocyte","Granulocytes","0.03"
"46296","DSC1_DSG2","NK Cell","Granulocytes","0.04"
"46297","DSC1_DSG2","Stromal Cells","Granulocytes","0.03"
"46298","DSC1_DSG2","T Cell","Granulocytes","0.03"
"46299","DSC1_DSG2","ab T Cell","Innate Lymphocytes","0"
"46300","DSC1_DSG2","B Cell","Innate Lymphocytes","0.02"
"46301","DSC1_DSG2","Basophils","Innate Lymphocytes","0"
"46302","DSC1_DSG2","Dendritic Cell","Innate Lymphocytes","0"
"46303","DSC1_DSG2","Eosinophil","Innate Lymphocytes","0"
"46304","DSC1_DSG2","gd T cells","Innate Lymphocytes","0"
"46305","DSC1_DSG2","Granulocytes","Innate Lymphocytes","0.03"
"46306","DSC1_DSG2","Innate Lymphocytes","Innate Lymphocytes","0.01"
"46307","DSC1_DSG2","Macrophage","Innate Lymphocytes","0.01"
"46308","DSC1_DSG2","Mast Cells","Innate Lymphocytes","0.02"
"46309","DSC1_DSG2","Microglia","Innate Lymphocytes","0"
"46310","DSC1_DSG2","Monocyte","Innate Lymphocytes","0"
"46311","DSC1_DSG2","NK Cell","Innate Lymphocytes","0.02"
"46312","DSC1_DSG2","Stem Cells","Innate Lymphocytes","0.03"
"46313","DSC1_DSG2","Stromal Cells","Innate Lymphocytes","0.01"
"46314","DSC1_DSG2","T Cell","Innate Lymphocytes","0"
"46315","DSC1_DSG2","Eosinophil","Macrophage","0"
"46316","DSC1_DSG2","Eosinophil","Mast Cells","0"
"46317","DSC1_DSG2","Basophils","Microglia","0.02"
"46318","DSC1_DSG2","Dendritic Cell","Microglia","0.03"
"46319","DSC1_DSG2","Eosinophil","Microglia","0"
"46320","DSC1_DSG2","Eosinophil","Monocyte","0"
"46321","DSC1_DSG2","Microglia","Monocyte","0.03"
"46322","DSC1_DSG2","Eosinophil","NK Cell","0"
"46323","DSC1_DSG2","ab T Cell","Stem Cells","0.01"
"46324","DSC1_DSG2","B Cell","Stem Cells","0.01"
"46325","DSC1_DSG2","Basophils","Stem Cells","0"
"46326","DSC1_DSG2","Dendritic Cell","Stem Cells","0"
"46327","DSC1_DSG2","Eosinophil","Stem Cells","0"
"46328","DSC1_DSG2","gd T cells","Stem Cells","0"
"46329","DSC1_DSG2","Granulocytes","Stem Cells","0.04"
"46330","DSC1_DSG2","Innate Lymphocytes","Stem Cells","0"
"46331","DSC1_DSG2","Macrophage","Stem Cells","0"
"46332","DSC1_DSG2","Mast Cells","Stem Cells","0"
"46333","DSC1_DSG2","Microglia","Stem Cells","0"
"46334","DSC1_DSG2","Monocyte","Stem Cells","0"
"46335","DSC1_DSG2","NK Cell","Stem Cells","0"
"46336","DSC1_DSG2","Stem Cells","Stem Cells","0.01"
"46337","DSC1_DSG2","Stromal Cells","Stem Cells","0"
"46338","DSC1_DSG2","T Cell","Stem Cells","0"
"46339","DSC1_DSG2","ab T Cell","Stromal Cells","0"
"46340","DSC1_DSG2","B Cell","Stromal Cells","0"
"46341","DSC1_DSG2","Basophils","Stromal Cells","0"
"46342","DSC1_DSG2","Dendritic Cell","Stromal Cells","0"
"46343","DSC1_DSG2","Eosinophil","Stromal Cells","0"
"46344","DSC1_DSG2","gd T cells","Stromal Cells","0"
"46345","DSC1_DSG2","Granulocytes","Stromal Cells","0"
"46346","DSC1_DSG2","Innate Lymphocytes","Stromal Cells","0"
"46347","DSC1_DSG2","Macrophage","Stromal Cells","0"
"46348","DSC1_DSG2","Mast Cells","Stromal Cells","0"
"46349","DSC1_DSG2","Microglia","Stromal Cells","0"
"46350","DSC1_DSG2","Monocyte","Stromal Cells","0"
"46351","DSC1_DSG2","NK Cell","Stromal Cells","0"
"46352","DSC1_DSG2","Stem Cells","Stromal Cells","0"
"46353","DSC1_DSG2","Stromal Cells","Stromal Cells","0"
"46354","DSC1_DSG2","T Cell","Stromal Cells","0"
"46355","DSC1_DSG2","Eosinophil","T Cell","0"
"46356","DSC2_DSG2","Basophils","ab T Cell","0.03"
"46357","DSC2_DSG2","Granulocytes","ab T Cell","0"
"46358","DSC2_DSG2","Innate Lymphocytes","ab T Cell","0"
"46359","DSC2_DSG2","Stromal Cells","ab T Cell","0"
"46360","DSC2_DSG2","Basophils","B Cell","0.04"
"46361","DSC2_DSG2","Granulocytes","B Cell","0.01"
"46362","DSC2_DSG2","Stromal Cells","B Cell","0"
"46363","DSC2_DSG2","Granulocytes","Basophils","0.03"
"46364","DSC2_DSG2","Stromal Cells","Basophils","0"
"46365","DSC2_DSG2","ab T Cell","Dendritic Cell","0.03"
"46366","DSC2_DSG2","Basophils","Dendritic Cell","0.03"
"46367","DSC2_DSG2","Dendritic Cell","Dendritic Cell","0.01"
"46368","DSC2_DSG2","Eosinophil","Dendritic Cell","0.04"
"46369","DSC2_DSG2","Granulocytes","Dendritic Cell","0"
"46370","DSC2_DSG2","Innate Lymphocytes","Dendritic Cell","0"
"46371","DSC2_DSG2","Monocyte","Dendritic Cell","0.02"
"46372","DSC2_DSG2","Stromal Cells","Dendritic Cell","0"
"46373","DSC2_DSG2","Granulocytes","Eosinophil","0.04"
"46374","DSC2_DSG2","Stromal Cells","Eosinophil","0"
"46375","DSC2_DSG2","Basophils","gd T cells","0.04"
"46376","DSC2_DSG2","Granulocytes","gd T cells","0.03"
"46377","DSC2_DSG2","Stromal Cells","gd T cells","0"
"46378","DSC2_DSG2","ab T Cell","Granulocytes","0.03"
"46379","DSC2_DSG2","Basophils","Granulocytes","0.03"
"46380","DSC2_DSG2","Dendritic Cell","Granulocytes","0.03"
"46381","DSC2_DSG2","Eosinophil","Granulocytes","0.04"
"46382","DSC2_DSG2","Granulocytes","Granulocytes","0"
"46383","DSC2_DSG2","Innate Lymphocytes","Granulocytes","0"
"46384","DSC2_DSG2","Macrophage","Granulocytes","0.03"
"46385","DSC2_DSG2","Monocyte","Granulocytes","0.03"
"46386","DSC2_DSG2","Stromal Cells","Granulocytes","0"
"46387","DSC2_DSG2","ab T Cell","Innate Lymphocytes","0"
"46388","DSC2_DSG2","B Cell","Innate Lymphocytes","0.03"
"46389","DSC2_DSG2","Basophils","Innate Lymphocytes","0.03"
"46390","DSC2_DSG2","Dendritic Cell","Innate Lymphocytes","0"
"46391","DSC2_DSG2","Eosinophil","Innate Lymphocytes","0.04"
"46392","DSC2_DSG2","gd T cells","Innate Lymphocytes","0.02"
"46393","DSC2_DSG2","Granulocytes","Innate Lymphocytes","0"
"46394","DSC2_DSG2","Innate Lymphocytes","Innate Lymphocytes","0"
"46395","DSC2_DSG2","Macrophage","Innate Lymphocytes","0"
"46396","DSC2_DSG2","Microglia","Innate Lymphocytes","0.03"
"46397","DSC2_DSG2","Monocyte","Innate Lymphocytes","0"
"46398","DSC2_DSG2","NK Cell","Innate Lymphocytes","0.04"
"46399","DSC2_DSG2","Stem Cells","Innate Lymphocytes","0.01"
"46400","DSC2_DSG2","Stromal Cells","Innate Lymphocytes","0"
"46401","DSC2_DSG2","Basophils","Macrophage","0.04"
"46402","DSC2_DSG2","Granulocytes","Macrophage","0"
"46403","DSC2_DSG2","Innate Lymphocytes","Macrophage","0"
"46404","DSC2_DSG2","Stromal Cells","Macrophage","0"
"46405","DSC2_DSG2","Basophils","Mast Cells","0.04"
"46406","DSC2_DSG2","Stromal Cells","Mast Cells","0"
"46407","DSC2_DSG2","Basophils","Microglia","0.04"
"46408","DSC2_DSG2","Dendritic Cell","Microglia","0.03"
"46409","DSC2_DSG2","Granulocytes","Microglia","0"
"46410","DSC2_DSG2","Innate Lymphocytes","Microglia","0"
"46411","DSC2_DSG2","Stromal Cells","Microglia","0"
"46412","DSC2_DSG2","Basophils","Monocyte","0.03"
"46413","DSC2_DSG2","Granulocytes","Monocyte","0"
"46414","DSC2_DSG2","Innate Lymphocytes","Monocyte","0"
"46415","DSC2_DSG2","Stromal Cells","Monocyte","0"
"46416","DSC2_DSG2","Stromal Cells","NK Cell","0"
"46417","DSC2_DSG2","ab T Cell","Stem Cells","0"
"46418","DSC2_DSG2","B Cell","Stem Cells","0.02"
"46419","DSC2_DSG2","Basophils","Stem Cells","0.03"
"46420","DSC2_DSG2","Dendritic Cell","Stem Cells","0"
"46421","DSC2_DSG2","Eosinophil","Stem Cells","0.04"
"46422","DSC2_DSG2","gd T cells","Stem Cells","0.02"
"46423","DSC2_DSG2","Granulocytes","Stem Cells","0"
"46424","DSC2_DSG2","Innate Lymphocytes","Stem Cells","0"
"46425","DSC2_DSG2","Macrophage","Stem Cells","0"
"46426","DSC2_DSG2","Microglia","Stem Cells","0.01"
"46427","DSC2_DSG2","Monocyte","Stem Cells","0.01"
"46428","DSC2_DSG2","NK Cell","Stem Cells","0.02"
"46429","DSC2_DSG2","Stromal Cells","Stem Cells","0"
"46430","DSC2_DSG2","T Cell","Stem Cells","0.04"
"46431","DSC2_DSG2","ab T Cell","Stromal Cells","0"
"46432","DSC2_DSG2","B Cell","Stromal Cells","0"
"46433","DSC2_DSG2","Basophils","Stromal Cells","0"
"46434","DSC2_DSG2","Dendritic Cell","Stromal Cells","0"
"46435","DSC2_DSG2","Eosinophil","Stromal Cells","0"
"46436","DSC2_DSG2","gd T cells","Stromal Cells","0"
"46437","DSC2_DSG2","Granulocytes","Stromal Cells","0"
"46438","DSC2_DSG2","Innate Lymphocytes","Stromal Cells","0"
"46439","DSC2_DSG2","Macrophage","Stromal Cells","0"
"46440","DSC2_DSG2","Mast Cells","Stromal Cells","0"
"46441","DSC2_DSG2","Microglia","Stromal Cells","0"
"46442","DSC2_DSG2","Monocyte","Stromal Cells","0"
"46443","DSC2_DSG2","NK Cell","Stromal Cells","0"
"46444","DSC2_DSG2","Stem Cells","Stromal Cells","0"
"46445","DSC2_DSG2","Stromal Cells","Stromal Cells","0"
"46446","DSC2_DSG2","T Cell","Stromal Cells","0"
"46447","DSC2_DSG2","Basophils","T Cell","0.03"
"46448","DSC2_DSG2","Granulocytes","T Cell","0"
"46449","DSC2_DSG2","Innate Lymphocytes","T Cell","0"
"46450","DSC2_DSG2","Stromal Cells","T Cell","0"
"46451","DSG2_DSC3","Dendritic Cell","ab T Cell","0.02"
"46452","DSG2_DSC3","Granulocytes","ab T Cell","0.03"
"46453","DSG2_DSC3","Innate Lymphocytes","ab T Cell","0"
"46454","DSG2_DSC3","Stem Cells","ab T Cell","0.01"
"46455","DSG2_DSC3","Stromal Cells","ab T Cell","0"
"46456","DSG2_DSC3","Innate Lymphocytes","B Cell","0.02"
"46457","DSG2_DSC3","Stem Cells","B Cell","0.01"
"46458","DSG2_DSC3","Stromal Cells","B Cell","0"
"46459","DSG2_DSC3","Dendritic Cell","Basophils","0.03"
"46460","DSG2_DSC3","Innate Lymphocytes","Basophils","0.03"
"46461","DSG2_DSC3","Microglia","Basophils","0.03"
"46462","DSG2_DSC3","Stem Cells","Basophils","0.03"
"46463","DSG2_DSC3","Stromal Cells","Basophils","0"
"46464","DSG2_DSC3","Dendritic Cell","Dendritic Cell","0"
"46465","DSG2_DSC3","Granulocytes","Dendritic Cell","0.03"
"46466","DSG2_DSC3","Innate Lymphocytes","Dendritic Cell","0"
"46467","DSG2_DSC3","Microglia","Dendritic Cell","0.03"
"46468","DSG2_DSC3","Monocyte","Dendritic Cell","0.04"
"46469","DSG2_DSC3","Stem Cells","Dendritic Cell","0"
"46470","DSG2_DSC3","Stromal Cells","Dendritic Cell","0"
"46471","DSG2_DSC3","ab T Cell","Eosinophil","0.04"
"46472","DSG2_DSC3","Dendritic Cell","Eosinophil","0.04"
"46473","DSG2_DSC3","Granulocytes","Eosinophil","0.03"
"46474","DSG2_DSC3","Innate Lymphocytes","Eosinophil","0.04"
"46475","DSG2_DSC3","Macrophage","Eosinophil","0.04"
"46476","DSG2_DSC3","Microglia","Eosinophil","0.04"
"46477","DSG2_DSC3","Monocyte","Eosinophil","0.04"
"46478","DSG2_DSC3","Stem Cells","Eosinophil","0.03"
"46479","DSG2_DSC3","Stromal Cells","Eosinophil","0"
"46480","DSG2_DSC3","T Cell","Eosinophil","0.04"
"46481","DSG2_DSC3","Innate Lymphocytes","gd T cells","0.01"
"46482","DSG2_DSC3","Stem Cells","gd T cells","0"
"46483","DSG2_DSC3","Stromal Cells","gd T cells","0"
"46484","DSG2_DSC3","Innate Lymphocytes","Granulocytes","0.01"
"46485","DSG2_DSC3","Stem Cells","Granulocytes","0.02"
"46486","DSG2_DSC3","Stromal Cells","Granulocytes","0"
"46487","DSG2_DSC3","ab T Cell","Innate Lymphocytes","0.01"
"46488","DSG2_DSC3","Dendritic Cell","Innate Lymphocytes","0"
"46489","DSG2_DSC3","Granulocytes","Innate Lymphocytes","0.01"
"46490","DSG2_DSC3","Innate Lymphocytes","Innate Lymphocytes","0"
"46491","DSG2_DSC3","Macrophage","Innate Lymphocytes","0"
"46492","DSG2_DSC3","Microglia","Innate Lymphocytes","0"
"46493","DSG2_DSC3","Monocyte","Innate Lymphocytes","0"
"46494","DSG2_DSC3","Stem Cells","Innate Lymphocytes","0"
"46495","DSG2_DSC3","Stromal Cells","Innate Lymphocytes","0"
"46496","DSG2_DSC3","T Cell","Innate Lymphocytes","0.03"
"46497","DSG2_DSC3","Granulocytes","Macrophage","0.03"
"46498","DSG2_DSC3","Innate Lymphocytes","Macrophage","0.01"
"46499","DSG2_DSC3","Stem Cells","Macrophage","0.01"
"46500","DSG2_DSC3","Stromal Cells","Macrophage","0"
"46501","DSG2_DSC3","Innate Lymphocytes","Mast Cells","0.04"
"46502","DSG2_DSC3","Stem Cells","Mast Cells","0.02"
"46503","DSG2_DSC3","Stromal Cells","Mast Cells","0"
"46504","DSG2_DSC3","Dendritic Cell","Microglia","0"
"46505","DSG2_DSC3","Granulocytes","Microglia","0"
"46506","DSG2_DSC3","Innate Lymphocytes","Microglia","0"
"46507","DSG2_DSC3","Microglia","Microglia","0.02"
"46508","DSG2_DSC3","Monocyte","Microglia","0.01"
"46509","DSG2_DSC3","Stem Cells","Microglia","0"
"46510","DSG2_DSC3","Stromal Cells","Microglia","0"
"46511","DSG2_DSC3","Dendritic Cell","Monocyte","0.01"
"46512","DSG2_DSC3","Granulocytes","Monocyte","0.03"
"46513","DSG2_DSC3","Innate Lymphocytes","Monocyte","0"
"46514","DSG2_DSC3","Stem Cells","Monocyte","0.01"
"46515","DSG2_DSC3","Stromal Cells","Monocyte","0"
"46516","DSG2_DSC3","Innate Lymphocytes","NK Cell","0.01"
"46517","DSG2_DSC3","Stem Cells","NK Cell","0.01"
"46518","DSG2_DSC3","Stromal Cells","NK Cell","0"
"46519","DSG2_DSC3","Innate Lymphocytes","Stem Cells","0.04"
"46520","DSG2_DSC3","Stromal Cells","Stem Cells","0"
"46521","DSG2_DSC3","ab T Cell","Stromal Cells","0"
"46522","DSG2_DSC3","B Cell","Stromal Cells","0"
"46523","DSG2_DSC3","Basophils","Stromal Cells","0"
"46524","DSG2_DSC3","Dendritic Cell","Stromal Cells","0"
"46525","DSG2_DSC3","Eosinophil","Stromal Cells","0"
"46526","DSG2_DSC3","gd T cells","Stromal Cells","0"
"46527","DSG2_DSC3","Granulocytes","Stromal Cells","0"
"46528","DSG2_DSC3","Innate Lymphocytes","Stromal Cells","0"
"46529","DSG2_DSC3","Macrophage","Stromal Cells","0"
"46530","DSG2_DSC3","Mast Cells","Stromal Cells","0"
"46531","DSG2_DSC3","Microglia","Stromal Cells","0"
"46532","DSG2_DSC3","Monocyte","Stromal Cells","0"
"46533","DSG2_DSC3","NK Cell","Stromal Cells","0"
"46534","DSG2_DSC3","Stem Cells","Stromal Cells","0"
"46535","DSG2_DSC3","Stromal Cells","Stromal Cells","0"
"46536","DSG2_DSC3","T Cell","Stromal Cells","0"
"46537","DSG2_DSC3","Stem Cells","T Cell","0.03"
"46538","DSG2_DSC3","Stromal Cells","T Cell","0"
"46539","EFNA1_EPHA1","Stem Cells","ab T Cell","0.03"
"46540","EFNA1_EPHA1","Stromal Cells","ab T Cell","0"
"46541","EFNA1_EPHA1","Stromal Cells","B Cell","0"
"46542","EFNA1_EPHA1","ab T Cell","Basophils","0"
"46543","EFNA1_EPHA1","B Cell","Basophils","0"
"46544","EFNA1_EPHA1","Dendritic Cell","Basophils","0"
"46545","EFNA1_EPHA1","Eosinophil","Basophils","0.03"
"46546","EFNA1_EPHA1","gd T cells","Basophils","0.01"
"46547","EFNA1_EPHA1","Granulocytes","Basophils","0.03"
"46548","EFNA1_EPHA1","Innate Lymphocytes","Basophils","0"
"46549","EFNA1_EPHA1","Macrophage","Basophils","0"
"46550","EFNA1_EPHA1","Mast Cells","Basophils","0.01"
"46551","EFNA1_EPHA1","Microglia","Basophils","0"
"46552","EFNA1_EPHA1","Monocyte","Basophils","0"
"46553","EFNA1_EPHA1","NK Cell","Basophils","0.01"
"46554","EFNA1_EPHA1","Stem Cells","Basophils","0"
"46555","EFNA1_EPHA1","Stromal Cells","Basophils","0"
"46556","EFNA1_EPHA1","T Cell","Basophils","0.01"
"46557","EFNA1_EPHA1","Stem Cells","Dendritic Cell","0"
"46558","EFNA1_EPHA1","Stromal Cells","Dendritic Cell","0"
"46559","EFNA1_EPHA1","ab T Cell","Eosinophil","0"
"46560","EFNA1_EPHA1","B Cell","Eosinophil","0"
"46561","EFNA1_EPHA1","Basophils","Eosinophil","0.02"
"46562","EFNA1_EPHA1","Dendritic Cell","Eosinophil","0"
"46563","EFNA1_EPHA1","Eosinophil","Eosinophil","0.01"
"46564","EFNA1_EPHA1","gd T cells","Eosinophil","0"
"46565","EFNA1_EPHA1","Granulocytes","Eosinophil","0"
"46566","EFNA1_EPHA1","Innate Lymphocytes","Eosinophil","0"
"46567","EFNA1_EPHA1","Macrophage","Eosinophil","0"
"46568","EFNA1_EPHA1","Mast Cells","Eosinophil","0"
"46569","EFNA1_EPHA1","Microglia","Eosinophil","0"
"46570","EFNA1_EPHA1","Monocyte","Eosinophil","0"
"46571","EFNA1_EPHA1","NK Cell","Eosinophil","0"
"46572","EFNA1_EPHA1","Stem Cells","Eosinophil","0"
"46573","EFNA1_EPHA1","Stromal Cells","Eosinophil","0"
"46574","EFNA1_EPHA1","T Cell","Eosinophil","0"
"46575","EFNA1_EPHA1","Stem Cells","gd T cells","0.02"
"46576","EFNA1_EPHA1","Stromal Cells","gd T cells","0"
"46577","EFNA1_EPHA1","ab T Cell","Granulocytes","0"
"46578","EFNA1_EPHA1","B Cell","Granulocytes","0"
"46579","EFNA1_EPHA1","Basophils","Granulocytes","0.03"
"46580","EFNA1_EPHA1","Dendritic Cell","Granulocytes","0"
"46581","EFNA1_EPHA1","Eosinophil","Granulocytes","0.04"
"46582","EFNA1_EPHA1","gd T cells","Granulocytes","0.01"
"46583","EFNA1_EPHA1","Granulocytes","Granulocytes","0.02"
"46584","EFNA1_EPHA1","Innate Lymphocytes","Granulocytes","0"
"46585","EFNA1_EPHA1","Macrophage","Granulocytes","0"
"46586","EFNA1_EPHA1","Mast Cells","Granulocytes","0"
"46587","EFNA1_EPHA1","Microglia","Granulocytes","0"
"46588","EFNA1_EPHA1","Monocyte","Granulocytes","0"
"46589","EFNA1_EPHA1","NK Cell","Granulocytes","0"
"46590","EFNA1_EPHA1","Stem Cells","Granulocytes","0"
"46591","EFNA1_EPHA1","Stromal Cells","Granulocytes","0"
"46592","EFNA1_EPHA1","T Cell","Granulocytes","0"
"46593","EFNA1_EPHA1","B Cell","Innate Lymphocytes","0.03"
"46594","EFNA1_EPHA1","Stem Cells","Innate Lymphocytes","0"
"46595","EFNA1_EPHA1","Stromal Cells","Innate Lymphocytes","0"
"46596","EFNA1_EPHA1","B Cell","Macrophage","0"
"46597","EFNA1_EPHA1","Macrophage","Macrophage","0"
"46598","EFNA1_EPHA1","Stem Cells","Macrophage","0"
"46599","EFNA1_EPHA1","Stromal Cells","Macrophage","0"
"46600","EFNA1_EPHA1","B Cell","Mast Cells","0.03"
"46601","EFNA1_EPHA1","Stem Cells","Mast Cells","0"
"46602","EFNA1_EPHA1","Stromal Cells","Mast Cells","0"
"46603","EFNA1_EPHA1","B Cell","Microglia","0"
"46604","EFNA1_EPHA1","Macrophage","Microglia","0"
"46605","EFNA1_EPHA1","Microglia","Microglia","0.04"
"46606","EFNA1_EPHA1","Monocyte","Microglia","0"
"46607","EFNA1_EPHA1","Stem Cells","Microglia","0"
"46608","EFNA1_EPHA1","Stromal Cells","Microglia","0"
"46609","EFNA1_EPHA1","B Cell","Monocyte","0"
"46610","EFNA1_EPHA1","Innate Lymphocytes","Monocyte","0.04"
"46611","EFNA1_EPHA1","Macrophage","Monocyte","0"
"46612","EFNA1_EPHA1","Microglia","Monocyte","0.01"
"46613","EFNA1_EPHA1","Monocyte","Monocyte","0"
"46614","EFNA1_EPHA1","Stem Cells","Monocyte","0"
"46615","EFNA1_EPHA1","Stromal Cells","Monocyte","0"
"46616","EFNA1_EPHA1","B Cell","NK Cell","0"
"46617","EFNA1_EPHA1","Macrophage","NK Cell","0"
"46618","EFNA1_EPHA1","Microglia","NK Cell","0.03"
"46619","EFNA1_EPHA1","Monocyte","NK Cell","0"
"46620","EFNA1_EPHA1","Stem Cells","NK Cell","0"
"46621","EFNA1_EPHA1","Stromal Cells","NK Cell","0"
"46622","EFNA1_EPHA1","B Cell","Stem Cells","0.01"
"46623","EFNA1_EPHA1","Macrophage","Stem Cells","0.02"
"46624","EFNA1_EPHA1","Stem Cells","Stem Cells","0"
"46625","EFNA1_EPHA1","Stromal Cells","Stem Cells","0"
"46626","EFNA1_EPHA1","B Cell","Stromal Cells","0"
"46627","EFNA1_EPHA1","Macrophage","Stromal Cells","0.01"
"46628","EFNA1_EPHA1","Monocyte","Stromal Cells","0.01"
"46629","EFNA1_EPHA1","Stem Cells","Stromal Cells","0"
"46630","EFNA1_EPHA1","Stromal Cells","Stromal Cells","0"
"46631","EFNA1_EPHA1","Stem Cells","T Cell","0.02"
"46632","EFNA1_EPHA1","Stromal Cells","T Cell","0"
"46633","EFNA1_EPHA3","B Cell","ab T Cell","0"
"46634","EFNA1_EPHA3","Macrophage","ab T Cell","0"
"46635","EFNA1_EPHA3","Stem Cells","ab T Cell","0"
"46636","EFNA1_EPHA3","Stromal Cells","ab T Cell","0"
"46637","EFNA1_EPHA3","B Cell","B Cell","0.01"
"46638","EFNA1_EPHA3","Macrophage","B Cell","0"
"46639","EFNA1_EPHA3","Monocyte","B Cell","0.02"
"46640","EFNA1_EPHA3","Stem Cells","B Cell","0"
"46641","EFNA1_EPHA3","Stromal Cells","B Cell","0"
"46642","EFNA1_EPHA3","Stem Cells","Basophils","0.01"
"46643","EFNA1_EPHA3","Stromal Cells","Basophils","0"
"46644","EFNA1_EPHA3","Macrophage","Dendritic Cell","0.03"
"46645","EFNA1_EPHA3","Stem Cells","Dendritic Cell","0"
"46646","EFNA1_EPHA3","Stromal Cells","Dendritic Cell","0"
"46647","EFNA1_EPHA3","ab T Cell","Eosinophil","0.02"
"46648","EFNA1_EPHA3","B Cell","Eosinophil","0"
"46649","EFNA1_EPHA3","Dendritic Cell","Eosinophil","0.03"
"46650","EFNA1_EPHA3","gd T cells","Eosinophil","0.03"
"46651","EFNA1_EPHA3","Innate Lymphocytes","Eosinophil","0.01"
"46652","EFNA1_EPHA3","Macrophage","Eosinophil","0"
"46653","EFNA1_EPHA3","Mast Cells","Eosinophil","0.01"
"46654","EFNA1_EPHA3","Microglia","Eosinophil","0"
"46655","EFNA1_EPHA3","Monocyte","Eosinophil","0"
"46656","EFNA1_EPHA3","NK Cell","Eosinophil","0.03"
"46657","EFNA1_EPHA3","Stem Cells","Eosinophil","0"
"46658","EFNA1_EPHA3","Stromal Cells","Eosinophil","0"
"46659","EFNA1_EPHA3","T Cell","Eosinophil","0.03"
"46660","EFNA1_EPHA3","B Cell","gd T cells","0.01"
"46661","EFNA1_EPHA3","Macrophage","gd T cells","0"
"46662","EFNA1_EPHA3","Monocyte","gd T cells","0.03"
"46663","EFNA1_EPHA3","Stem Cells","gd T cells","0"
"46664","EFNA1_EPHA3","Stromal Cells","gd T cells","0"
"46665","EFNA1_EPHA3","B Cell","Granulocytes","0.01"
"46666","EFNA1_EPHA3","Macrophage","Granulocytes","0"
"46667","EFNA1_EPHA3","Microglia","Granulocytes","0.02"
"46668","EFNA1_EPHA3","Monocyte","Granulocytes","0.01"
"46669","EFNA1_EPHA3","Stem Cells","Granulocytes","0"
"46670","EFNA1_EPHA3","Stromal Cells","Granulocytes","0"
"46671","EFNA1_EPHA3","B Cell","Innate Lymphocytes","0"
"46672","EFNA1_EPHA3","Macrophage","Innate Lymphocytes","0.01"
"46673","EFNA1_EPHA3","Microglia","Innate Lymphocytes","0.04"
"46674","EFNA1_EPHA3","Monocyte","Innate Lymphocytes","0"
"46675","EFNA1_EPHA3","Stem Cells","Innate Lymphocytes","0"
"46676","EFNA1_EPHA3","Stromal Cells","Innate Lymphocytes","0"
"46677","EFNA1_EPHA3","B Cell","Macrophage","0.04"
"46678","EFNA1_EPHA3","Macrophage","Macrophage","0"
"46679","EFNA1_EPHA3","Stem Cells","Macrophage","0"
