"interaction","cell1","cell2","p-value"
"BTC_EGFR_ERBB2","Spleen","Peritoneal Cavity","0"
"BTC_ERBB2_ERBB4","Peritoneal Cavity","Peritoneal Cavity","0"
"BTC_ERBB2_ERBB4","Spleen","Peritoneal Cavity","0"
"HBEGF_EGFR","Peritoneal Cavity","Peritoneal Cavity","0"
"HBEGF_EGFR","Spleen","Peritoneal Cavity","0"
"HBEGF_EGFR_ERBB2","Peritoneal Cavity","Peritoneal Cavity","0"
"HBEGF_EGFR_ERBB2","Spleen","Peritoneal Cavity","0"
"HBEGF_ERBB2_ERBB4","Peritoneal Cavity","Peritoneal Cavity","0"
"HBEGF_ERBB2_ERBB4","Peritoneal Cavity","Spleen","0"
"EREG_EGFR","Peritoneal Cavity","Peritoneal Cavity","0"
"EREG_EGFR","Spleen","Peritoneal Cavity","0"
"EREG_EGFR_ERBB2","Peritoneal Cavity","Peritoneal Cavity","0"
"EREG_EGFR_ERBB2","Spleen","Peritoneal Cavity","0"
"EREG_ERBB2_ERBB4","Peritoneal Cavity","Peritoneal Cavity","0"
"EREG_ERBB2_ERBB4","Spleen","Peritoneal Cavity","0"
"NRG3_ERBB2_ERBB4","Spleen","Peritoneal Cavity","0"
"NRG4_ERBB2_ERBB4","Peritoneal Cavity","Peritoneal Cavity","0"
"NRG4_ERBB2_ERBB4","Spleen","Peritoneal Cavity","0.01"
"FGF10_FGFR2","Spleen","Spleen","0"
"FGF22_FGFR2",NA,NA,NA
"FGF22_FGFR2","FGF22_FGFR2","FGF22_FGFR2","FGF22_FGFR2"
"FGF9_FGFR2","Peritoneal Cavity","Peritoneal Cavity","0"
"FGF9_FGFR2","Peritoneal Cavity","Spleen","0"
"VEGFA_VEGFR1","Spleen","Spleen","0"
"VEGFB_VEGFR1","Spleen","Spleen","0"
"VEGFC_VEGFR3","Spleen","Peritoneal Cavity","0"
"VEGFC_VEGFR3","Spleen","Spleen","0.02"
"PGF_VEGFR1","Peritoneal Cavity","Spleen","0"
"VEGFA_VEGFR1R2","Spleen","Spleen","0"
"VEGFC_VEGFR2R3","Spleen","Peritoneal Cavity","0"
"VEGFC_VEGFR2R3","Spleen","Spleen","0.02"
"IGF1_IGF1R","Peritoneal Cavity","Peritoneal Cavity","0"
"IGF1_IGF1R","Peritoneal Cavity","Spleen","0"
"IGF1_ITGAV_ITGB3","Peritoneal Cavity","Peritoneal Cavity","0"
"IGF1_ITGAV_ITGB3","Peritoneal Cavity","Spleen","0"
"INS2_INSSR","Peritoneal Cavity","Peritoneal Cavity","0"
"INS2_INSSR","Spleen","Peritoneal Cavity","0"
"CCL5_CCR1L1","Spleen","Peritoneal Cavity","0"
"CCL5_CCR1L1","Spleen","Spleen","0.02"
"CCL3_CCR1L1","Peritoneal Cavity","Peritoneal Cavity","0.03"
"CCL3_CCR1L1","Spleen","Peritoneal Cavity","0"
"CCL3_CCR1L1","Spleen","Spleen","0.02"
"CCL7_CCR1L1","Peritoneal Cavity","Peritoneal Cavity","0"
"CCL7_CCR1L1","Spleen","Peritoneal Cavity","0"
"CCL5_CCR3","Spleen","Peritoneal Cavity","0"
"CCL5_CCR3","Spleen","Spleen","0.02"
"CCL7_CCR3","Peritoneal Cavity","Peritoneal Cavity","0"
"CCL7_CCR3","Spleen","Peritoneal Cavity","0"
"CCL11_CCR3","Peritoneal Cavity","Peritoneal Cavity","0"
"CCL11_CCR3","Spleen","Peritoneal Cavity","0"
"CCL26_CCR3","Peritoneal Cavity","Peritoneal Cavity","0"
"CCL26_CCR3","Spleen","Peritoneal Cavity","0"
"CCL27A_CCR3","Spleen","Peritoneal Cavity","0"
"CXCL1_CXCR1","Peritoneal Cavity","Peritoneal Cavity","0"
"CXCL1_CXCR1","Peritoneal Cavity","Spleen","0"
"CXCL2_CXCR1","Peritoneal Cavity","Peritoneal Cavity","0"
"CXCL2_CXCR1","Peritoneal Cavity","Spleen","0"
"CXCL3_CXCR1","Peritoneal Cavity","Peritoneal Cavity","0.04"
"CXCL3_CXCR1","Peritoneal Cavity","Spleen","0"
"CXCL10_CXCR3","Spleen","Spleen","0"
"CXCL13_CXCR3","Peritoneal Cavity","Spleen","0"
"CXCL12_CXCR4","Peritoneal Cavity","Spleen","0"
"CXCL12_ACKR3","Peritoneal Cavity","Peritoneal Cavity","0"
"CXCL16_CXCR6","Peritoneal Cavity","Peritoneal Cavity","0"
"CXCL16_CXCR6","Peritoneal Cavity","Spleen","0"
"MIF_CD74_CXCR4","Peritoneal Cavity","Spleen","0"
"MIF_CD74_CXCR4","Spleen","Spleen","0"
"MIF_ACKR3","Peritoneal Cavity","Peritoneal Cavity","0"
"MIF_ACKR3","Spleen","Peritoneal Cavity","0"
"IL7_IL7R_IL2RG","Peritoneal Cavity","Spleen","0"
